source,tweet_count
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",23280
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",18166
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",14026
"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",2390
"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>",235
"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>",161
"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>",130
"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>",98
"<a href=\"http://publicize.wp.com/\" rel=\"nofollow\">Jetpack.com</a>",63
"<a href=\"https://www.echobox.com\" rel=\"nofollow\">Echobox</a>",56
"<a href=\"http://itunes.apple.com/us/app/twitter/id409789998?mt=12\" rel=\"nofollow\">Twitter for Mac</a>",55
"<a href=\"https://buffer.com\" rel=\"nofollow\">Buffer</a>",40
"<a href=\"http://www.socialnewsdesk.com\" rel=\"nofollow\">SocialNewsDesk</a>",35
"<a href=\"https://cheapbotsdonequick.com\" rel=\"nofollow\">Cheap Bots, Done Quick!</a>",34
"<a href=\"https://twitter.com\" rel=\"nofollow\">TweetDeck Web App</a>",34
"<a href=\"http://www.socialflow.com\" rel=\"nofollow\">SocialFlow</a>",34
"<a href=\"https://sproutsocial.com\" rel=\"nofollow\">Sprout Social</a>",32
"<a href=\"https://www.blog2social.com\" rel=\"nofollow\">Blog2Social APP</a>",26
"<a href=\"https://fai.informazione.it\" rel=\"nofollow\">TrendingRetriever</a>",25
"<a href=\"http://www.powerapps.com\" rel=\"nofollow\">Microsoft Power Platform</a>",18
"<a href=\"https://revive.social/\" rel=\"nofollow\">Revive Social App</a>",16
"<a href=\"https://omnihanded.com\" rel=\"nofollow\">Omnihanded MrSkanner App</a>",16
"<a href=\"https://omnihanded.com\" rel=\"nofollow\">Omnihanded Interactive News</a>",16
"<a href=\"https://metricool.com\" rel=\"nofollow\">Metricool</a>",15
"<a href=\"http://besocy.com\" rel=\"nofollow\">Besocy_Oficial</a>",15
"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>",15
"<a href=\"http://www.hubspot.com/\" rel=\"nofollow\">HubSpot</a>",13
"<a href=\"http://twittbot.net/\" rel=\"nofollow\">twittbot.net</a>",12
"<a href=\"https://twitter.com/facts_bolsonaro\" rel=\"nofollow\">BolsonaroFacts</a>",11
"<a href=\"https://www.informazione.it\" rel=\"nofollow\">Informazione Post</a>",11
"<a href=\"http://online.dmgdemo.com\" rel=\"nofollow\">TwitterDMG_Connector</a>",10
"<a href=\"https://www.socialjukebox.com\" rel=\"nofollow\">The Social Jukebox</a>",9
"<a href=\"http://www.agentmethods.com\" rel=\"nofollow\">AgentMethods Insurance Website</a>",9
"<a href=\"https://my.arturin.com\" rel=\"nofollow\">Artur'In</a>",8
"<a href=\"https://www.loomly.com/\" rel=\"nofollow\">Loomly</a>",8
"<a href=\"https://www.townnews.com/\" rel=\"nofollow\">BLOX CMS</a>",8
